species,breeds
강아지,골든 리트리버
강아지,그레이하운드
강아지,그린란드견
강아지,글렌 오브 이말 테리어
강아지,기슈견
강아지,나폴리탄 마스티프
강아지,노르웨지안 부훈트
강아지,노르웨이 엘크 하운드
강아지,노리치 테리어
강아지,노바 스코셔 덕 톨링 레트리버
강아지,노퍽 테리어
강아지,뉴펀들랜드
강아지,닥스훈트
강아지,달마시안
강아지,댄디 딘몬트 테리어
강아지,도고 까나리오
강아지,도고 아르헨티노
강아지,도그 드 보르도
강아지,도베르만 핀셔
강아지,도사견
강아지,동경이
강아지,라고토 로마뇰로
강아지,라사압소
강아지,라페이로 도 알렌테조
강아지,라포니안 허더
강아지,래브라도 리트리버
강아지,레온베르거
강아지,레이크랜드 테리어
강아지,로디지아 리지백
강아지,루이지애나 레오파드 도그(카타훌라)
강아지,로첸
강아지,로트와일러
강아지,마스티프
강아지,맨체스터 테리어
강아지,말티즈
강아지,미니어처 불 테리어
강아지,미니어처 슈나우저
강아지,미니어처 핀셔
강아지,말티푸
강아지,바센지
강아지,바셋 하운드
강아지,버니즈 마운틴 도그
강아지,베들링턴 테리어
강아지,발바리
강아지,벨기에 말리노이즈
강아지,벨기에 테뷰런
강아지,벨지안 그리펀
강아지,벨지언 쉽독 (벨지언 셰퍼드)
강아지,보더콜리
강아지,보더 테리어
강아지,보르도 마스티프
강아지,보르조이
강아지,보비에 드 플랜더스
강아지,보스롱
강아지,보스턴 테리어
강아지,복서
강아지,볼로네즈
강아지,불개
강아지,불도그
강아지,불리 쿠타
강아지,불 마스티프
강아지,불 테리어
강아지,브뤼셀 그리펀
강아지,브리어드
강아지,브리타니
강아지,블랙 러시안 테리어
강아지,블랙 앤드 탄 쿤하운드
강아지,블러드 하운드
강아지,비글
강아지,비숑 프리제
강아지,비어디드 콜리
강아지,비즐라
강아지,빠삐용(견종)
강아지,사모예드
강아지,사플라니낙
강아지,살루키
강아지,삽살개
강아지,샤페이
강아지,서식스 스패니얼
강아지,세인트 버나드
강아지,셰틀랜드 쉽독
강아지,소프트 코티드 휘튼 테리어
강아지,솔로이츠 쿠인틀레
강아지,스무드 폭스 테리어
강아지,스웨디쉬 발훈트
강아지,스카이 테리어
강아지,스코티시 디어하운드
강아지,스코티시 테리어
강아지,스키퍼키
강아지,스태퍼드셔 불 테리어
강아지,스탠더드 슈나우저
강아지,스패니쉬 그레이 하운드
강아지,스패니쉬 마스티프
강아지,스피노네 이탈리아노
강아지,스피츠
강아지,시고르자브종
강아지,시바 이누
강아지,시베리언 허스키
강아지,시추
강아지,시코쿠견
강아지,실리엄 테리어
강아지,실키 테리어
강아지,아나톨리아 셰퍼드
강아지,아메리칸 불도그
강아지,아메리칸 불리
강아지,아메리칸 스태퍼드셔 테리어
강아지,아메리칸 아키다
강아지,아메리칸 에스키모 도그
강아지,아메리칸 인디언 도그
강아지,아메리칸 워터 스패니얼
강아지,아메리칸 코커 스패니얼
강아지,아메리칸 폭스하운드
강아지,아이디
강아지,아이리시 소프트코티드 휘튼 테리어
강아지,아이리시 레드 앤드 화이트 세터
강아지,아이리시 세터
강아지,아이리시 울프 하운드
강아지,아이리시 워터 스패니얼
강아지,아이리시 테리어
강아지,아키타
강아지,아펜핀셔
강아지,아프간 하운드
강아지,알래스칸 맬러뮤트
강아지,알래스칸 클리카이
강아지,에스트렐라 마운틴 독
강아지,에어데일 테리어
강아지,오브차카
강아지,오스트레일리안 실키 테리어
강아지,오스트레일리안 켈피
강아지,오스트레일리언 셰퍼드
강아지,오스트레일리언 캐틀 도그
강아지,오스트레일리언 테리어
강아지,오터 하운드
강아지,올드 잉글리시 쉽독
강아지,와이머라너
강아지,와이어 폭스 테리어
강아지,와이어헤어드 포인팅 그리펀
강아지,야쿠탄 라이카
강아지,요크셔 테리어
강아지,웨스트 하이랜드 화이트테리어
강아지,웰시 스프링어 스패니얼
강아지,웰시 코기
강아지,웰시 테리어
강아지,이비전 하운드
강아지,이탤리언 그레이하운드
강아지,잉글리시 세터
강아지,잉글리시 스프링어 스패니얼
강아지,잉글리시 코커 스패니얼
강아지,잉글리시 토이 스패니얼
강아지,잉글리시 폭스하운드
강아지,자이언트 슈나우저
강아지,재패니즈 친
강아지,재패니즈 스피츠
강아지,잭 러셀 테리어
강아지,저먼 셰퍼드
강아지,저먼 쇼트헤어드 포인터
강아지,저먼 와이어헤어드 포인터
강아지,저먼 핀셔
강아지,저먼 헌팅 테리어
강아지,제주개
강아지,진돗개
강아지,차우차우
강아지,차이니즈 샤페이
강아지,차이니즈 크레스티드
강아지,체서피크 베이 레트리버
강아지,체코슬로바키아 늑대개
강아지,치와와
강아지,카네 코르소
강아지,카디건 웰시 코기
강아지,카발리에 킹 찰스 스파니엘
강아지,캉갈
강아지,컬리코티드 레트리버
강아지,케리 블루 테리어
강아지,케언 테리어
강아지,케이넌 도그
강아지,케이스혼트
강아지,코리안 마스티프
